DocType: Wechat App,AES KEY,
DocType: Wechat App,APP ID,
DocType: Wechat AppMenu,Alias,
DocType: Wechat Send Doc,Amended From,
DocType: Wechat App,App,
apps/wechat/wechat/templates/pages/wechat_login.py +27,Binding Wechat,
apps/wechat/wechat/wechat/doctype/wechat_binding/wechat_binding.py +38,Binding has ben deleted,
apps/wechat/wechat/wechat/doctype/wechat_binding/wechat_binding.py +27,Binding is done,
DocType: Wechat App,Cloud Manager,
DocType: Wechat App,Cloud User,
DocType: Wechat Homepage,Decription,
DocType: Wechat App,Device Alarm Template,
DocType: Wechat Send Doc,Document ID,
DocType: Wechat Send Doc,Document Type,
DocType: Wechat App,Domain,
apps/wechat/wechat/templates/pages/wechat_login.html +18,Email address,
apps/wechat/wechat/templates/pages/wechat_login.html +26,Enable,
DocType: Wechat App,Enabled,
DocType: Wechat Send Doc,Error,
DocType: Wechat Send Doc,Error Info,
DocType: Wechat Binding,Expires,
DocType: Wechat Send Doc,Finished,
DocType: Wechat AppMenu,Group,
DocType: Wechat AppMenu,Group Index,
DocType: Wechat Send Doc,IOT Device Error,
apps/wechat/wechat/api.py +47,Incorrect HTTP Content-Type found {0},
DocType: Wechat SendUser,Info,
apps/wechat/wechat/api.py +49,JSON Data not found!,
DocType: Wechat App,Language,
DocType: Wechat AppMenu,Menu,
DocType: Wechat App,Menu List,
DocType: Wechat App,Menu Settings,
DocType: Wechat App,Message Templates,
DocType: Wechat Menu,Name,
DocType: Wechat Send Doc,New,
DocType: Wechat App,On Behalf,
DocType: Wechat Binding,OpenID,
DocType: Wechat Send Doc,Partial,
apps/wechat/wechat/templates/pages/wechat_login.html +23,Password,
apps/wechat/wechat/api.py +213,Received WeChat message {0},
DocType: Wechat App,Repair Issue Template,
apps/wechat/wechat/api.py +44,Request Method Must be POST!,
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.js +25,Resend,
DocType: Wechat Menu,Route,
DocType: Wechat App,Secret,
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.py +95,Send template message ok {0},
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.py +98,Send template message to user {0} failed {1},
DocType: Wechat Send Doc,SendTo Settings,
DocType: Wechat Send Doc,Status,
DocType: Wechat Homepage,Tag Line,
DocType: Wechat Send Doc,Template,
apps/wechat/wechat/wechat/doctype/wechat_binding/wechat_binding.py +33,There is no binding for App{0} User{1},
DocType: Wechat Send Doc,Tickets Ticket,
DocType: Wechat App,Tickets Ticket Template,
DocType: Wechat Homepage,Title,
DocType: Wechat Send Doc,To Users,
DocType: Wechat Send Doc,ToDo,
DocType: Wechat App,Token,
DocType: Wechat Menu,Type,
DocType: Wechat Binding,User,
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.py +85,User {0} has not bind her/his wechat,
apps/wechat/wechat/api.py +112,Username password is not matched!,
DocType: Wechat App,Wechat,
DocType: Wechat App,Wechat App,
DocType: Wechat AppMenu,Wechat AppMenu,
DocType: Wechat Binding,Wechat Binding,
apps/wechat/wechat/templates/pages/wechat_login.js +24,Wechat Binding success,
DocType: Wechat Homepage,Wechat Homepage,
DocType: Wechat App,Wechat Manager,
DocType: Wechat Menu,Wechat Menu,
DocType: Wechat Send Doc,Wechat Send Doc,
DocType: Wechat SendUser,Wechat SendUser,
apps/wechat/wechat/api.py +123,Wechat binded!,
apps/wechat/wechat/controllers/wechat_doc_hooks.py +11,You have new ToDo,
DocType: Wechat Menu,click,
DocType: Wechat Menu,view,
apps/wechat/wechat/api.py +57,wechat not existed or disabled!,
