DocType: Wechat App,AES KEY,AES密钥
DocType: Wechat App,APP ID,公共号名称
DocType: Wechat AppMenu,Alias,别名
DocType: Wechat Binding,All,所有
DocType: Wechat Send Doc,Amended From,修订源
DocType: Wechat App,App,应用
DocType: Wechat App,Auth Settings,认证设置
apps/wechat/wechat/templates/pages/wechat_login.py +28,Binding Wechat,微信绑定
apps/wechat/wechat/wechat/doctype/wechat_binding/wechat_binding.py +48,Binding has ben deleted,删除微信绑定成功
apps/wechat/wechat/wechat/doctype/wechat_binding/wechat_binding.py +25,Binding is done,微信绑定成功
DocType: Wechat App,Company Admin,公司管理员
DocType: Wechat Auth File,Content,内容
DocType: Wechat Homepage,Decription,描述
DocType: Wechat App,Device Alarm Template,设备报警模板
DocType: Wechat Send Doc,Document ID,文件编号
DocType: Wechat Send Doc,Document Type,文档类型
DocType: Wechat App,Domain,域名
apps/wechat/wechat/templates/pages/wechat_login.html +18,Email address,邮件地址
apps/wechat/wechat/templates/pages/wechat_login.html +26,Enable,启用
DocType: Wechat App,Enabled,启用
DocType: Wechat Send Doc,Error,错误
DocType: Wechat Send Doc,Error Info,错误信息
DocType: Wechat Binding,Expires,过期日期
DocType: Wechat App,File Content,认证文件内容
DocType: Wechat App,File Name,认证文件名
DocType: Wechat Send Doc,Finished,已完成
DocType: Wechat AppMenu,Group,组
DocType: Wechat AppMenu,Group Index,组序号
DocType: Wechat Send Doc,IOT Device Error,IOT 设备错误
DocType: Wechat Send Doc,IOT Device Event,IOT 设备事件
DocType: Wechat SendUser,Info,信息
DocType: Wechat App,Language,语言
DocType: Wechat AppMenu,Menu,菜单
DocType: Wechat App,Menu List,菜单列表
DocType: Wechat App,Menu Settings,菜单设定
DocType: Wechat App,Message Templates,消息模板
DocType: Wechat Menu,Name,名称
DocType: Wechat Send Doc,New,新
DocType: Wechat App,On Behalf,代理用户
DocType: Wechat Binding,OpenID,OpenID
apps/wechat/wechat/api.py +149,Openid is not bind with any user,OpenID未绑定任何用户
DocType: Wechat Send Doc,Partial,部分完成
apps/wechat/wechat/templates/pages/wechat_login.html +23,Password,密码
apps/wechat/wechat/api.py +257,Received WeChat message {0},接收到微信信息{0}
apps/wechat/wechat/api.py +140,Request Method Must be POST!,只接受POST请求
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.js +25,Resend,重发
DocType: Wechat Auth File,Route,路线
DocType: Wechat App,Secret,密钥(Secret)
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.py +101,Send template message ok {0},发送模板信息成功: {0}
apps/wechat/wechat/wechat/doctype/wechat_send_doc/wechat_send_doc.py +104,Send template message to user {0} failed {1},发送模板信息给用户{0} 失败: {1}
DocType: Wechat Send Doc,SendTo Settings,发送目标设定
DocType: Wechat Send Doc,Status,状态
DocType: Wechat Homepage,Tag Line,标签行
DocType: Wechat Send Doc,Template,模板
